RF,Time,Latitude,Longitude,Altitude
22,18:22:52,22.9023834,120.2726638,19.887
22,18:22:55,22.9024787,120.2726508,19.988
22,18:22:58,22.9025943,120.2726281,20.321
22,18:23:01,22.9027235,120.272615,20.013
22,18:23:04,22.9027909,120.2726029,24.428
22,18:23:07,22.9027947,120.2726087,29.408
22,18:23:10,22.9028167,120.2726629,30.21
22,18:23:13,22.9028659,120.2727748,30.104
22,18:23:16,22.9029169,120.2728872,30.095
22,18:23:19,22.9029708,120.2730056,29.966
22,18:23:22,22.9030132,120.2731031,29.867
22,18:23:25,22.9030169,120.2731173,29.887
22,18:23:28,22.9030153,120.2731185,29.749
22,18:23:31,22.9030162,120.2731192,25.598
22,18:23:34,22.903017,120.2731182,20.931
22,18:23:37,22.9030154,120.2731171,16.383
22,18:23:40,22.9030185,120.2731205,12.125
22,18:23:43,22.9030169,120.2731172,9.273
22,18:23:46,22.9030162,120.2731187,7.706
22,18:23:49,22.9030162,120.2731191,6.333
22,18:23:52,22.9030169,120.2731189,4.577
22,18:23:55,22.9030168,120.2731189,3.124
22,18:23:58,22.903016,120.2731176,1.669
22,18:24:01,22.9030163,120.2731184,0.172
22,18:24:04,22.9030149,120.2731188,0.036
23,11:20:09,22.9028183,120.2731667,20.761
23,11:20:12,22.9027503,120.2731768,21.107
23,11:20:15,22.9026396,120.2731964,20.383
23,11:20:18,22.9025238,120.2732227,20.023
23,11:20:21,22.9024049,120.2732404,20.337
23,11:20:24,22.9023422,120.2732078,20.165
23,11:20:27,22.9023236,120.2730982,20.227
23,11:20:30,22.902301,120.2729644,20.157
23,11:20:33,22.9022865,120.272826,20.173
23,11:20:36,22.9022867,120.2727182,20.259
23,11:20:39,22.9023593,120.2726916,20.328
23,11:20:42,22.9024747,120.272673,20.265
23,11:20:45,22.902609,120.2726542,20.318
23,11:20:48,22.9027375,120.2726419,20.302
23,11:20:51,22.9027854,120.2726899,20.053
23,11:20:54,22.9027974,120.2728005,19.933
23,11:20:57,22.9028106,120.2729355,19.89
23,11:21:00,22.9028319,120.2730777,19.861
23,11:21:03,22.9028405,120.2731703,19.872
24,11:22:49,22.902838,120.2731723,19.832
24,11:22:52,22.9028324,120.27311,20.352
24,11:22:55,22.9028232,120.2730431,20.126
24,11:22:58,22.9028186,120.2729799,19.691
24,11:23:01,22.9028135,120.2729166,20.106
24,11:23:04,22.9027835,120.2729005,20.43
24,11:23:07,22.9027299,120.2729028,20.116
24,11:23:10,22.9026849,120.272909,20.183
24,11:23:13,22.9026461,120.2729128,20.156
24,11:23:16,22.9026025,120.272912,20.267
24,11:23:19,22.9025641,120.2728819,20.349
24,11:23:22,22.9025225,120.2728477,20.342
24,11:23:25,22.9024836,120.2728166,20.08
24,11:23:28,22.902443,120.2727778,20.057
24,11:23:31,22.902403,120.272744,19.983
24,11:23:34,22.9023875,120.2727426,20.205
24,11:23:37,22.9023923,120.2727898,20.098
24,11:23:40,22.9023953,120.2728276,20.085
24,11:23:43,22.9023989,120.2728753,20.162
24,11:23:46,22.9023993,120.2729218,20.25
24,11:23:49,22.9024019,120.2729706,19.976
24,11:23:52,22.9024062,120.2730158,20.055
24,11:23:55,22.9024072,120.273064,20.05
24,11:23:58,22.902409,120.2731121,20.008
24,11:24:01,22.902415,120.2731633,20.034
24,11:24:04,22.9024137,120.2732107,20.052
24,11:24:07,22.9024552,120.2732179,20.361
24,11:24:10,22.9025151,120.2732057,19.627
24,11:24:13,22.9025784,120.2732004,19.551
24,11:24:16,22.9026336,120.2731987,20.05
24,11:24:19,22.9026961,120.2731933,19.641
25,11:26:23,22.9028212,120.2731639,19.903
25,11:26:26,22.9028001,120.2731136,20.276
25,11:26:29,22.9027756,120.2730577,20.101
25,11:26:33,22.9027539,120.2730071,19.728
25,11:26:36,22.9027308,120.2729591,20.123
25,11:26:39,22.9027082,120.272905,20.06
25,11:26:42,22.902686,120.2728527,20.267
25,11:26:45,22.9026582,120.2728499,19.986
25,11:26:48,22.902611,120.2728735,20.017
25,11:26:51,22.9025696,120.2728993,20.164
25,11:26:54,22.9025262,120.2729236,20.08
25,11:26:57,22.9024814,120.2729483,20.265
25,11:27:00,22.9024418,120.2729713,20.341
25,11:27:03,22.9024539,120.2730186,19.928
25,11:27:06,22.9024836,120.2730668,19.958
25,11:27:09,22.9025073,120.2731091,20.066
25,11:27:12,22.9025306,120.2731549,20.083
25,11:27:15,22.9025548,120.2732035,20.176
25,11:27:18,22.902602,120.2732159,20.043
25,11:27:21,22.9026689,120.2732046,19.956
25,11:27:24,22.9027276,120.2731956,19.758
25,11:27:27,22.9027862,120.2731891,19.653
25,11:27:30,22.9028374,120.2731838,19.868
26,11:33:29,22.9028163,120.2731632,19.482
26,11:33:32,22.9028184,120.2730997,20.348
26,11:33:35,22.9028181,120.2729888,20.162
26,11:33:38,22.9027976,120.2729306,19.898
26,11:33:41,22.9027571,120.2729336,19.8
26,11:33:44,22.9026823,120.2729254,19.979
26,11:33:47,22.9026615,120.2728467,20.406
26,11:33:50,22.9026314,120.2727392,20.367
26,11:33:53,22.9026127,120.2726994,20.004
26,11:33:56,22.9025992,120.272725,19.839
26,11:33:59,22.9025509,120.2727969,20.096
26,11:34:02,22.9024865,120.2728927,20.111
26,11:34:05,22.9024227,120.2729918,20.213
26,11:34:08,22.9023899,120.273049,20.248
26,11:34:11,22.9024118,120.2730563,20.299
26,11:34:14,22.9024878,120.2730829,20.377
26,11:34:17,22.9025983,120.2731113,19.991
26,11:34:20,22.9027021,120.2731373,19.71
27,11:35:53,22.9028294,120.2731672,19.556
27,11:35:56,22.902787,120.2731685,20.136
27,11:35:59,22.9027315,120.2731774,20.015
27,11:36:02,22.9026762,120.2731878,19.935
27,11:36:05,22.9026201,120.2731946,20.036
27,11:36:08,22.9025663,120.2732006,20.045
27,11:36:11,22.9025123,120.2732084,20.114
27,11:36:14,22.9025254,120.273188,20.08
27,11:36:17,22.9025494,120.2731319,20.107
27,11:36:20,22.9025771,120.2730773,20.315
27,11:36:23,22.9026066,120.2730245,20.55
27,11:36:26,22.9026331,120.2729756,20.304
27,11:36:29,22.9026601,120.2729234,20.3
27,11:36:32,22.9026376,120.2728833,20.607
27,11:36:35,22.9025986,120.272843,20.198
27,11:36:38,22.9025577,120.2728044,20.025
27,11:36:41,22.9025187,120.2727655,19.94
27,11:36:44,22.9024766,120.2727215,19.879
27,11:36:47,22.9024541,120.2727009,19.73
27,11:36:50,22.9025015,120.2726992,19.872
27,11:36:53,22.9025585,120.2726912,20.083
27,11:36:56,22.9026097,120.2726891,19.967
27,11:36:59,22.9026639,120.2726887,19.908
27,11:37:02,22.9027203,120.2726846,19.96
27,11:37:05,22.9027787,120.2726807,20.029
27,11:37:08,22.9028036,120.2726923,19.939
28,11:38:57,22.9028087,120.273162,20.3
28,11:39:00,22.9027692,120.2731122,20.159
28,11:39:03,22.9027294,120.273062,19.782
28,11:39:06,22.9026999,120.2730199,19.926
28,11:39:09,22.9026657,120.2729731,20.082
28,11:39:12,22.9026306,120.2729246,20.188
28,11:39:15,22.9025965,120.2728793,20.155
28,11:39:18,22.9025648,120.2728362,19.998
28,11:39:21,22.9025313,120.2728027,20.041
28,11:39:24,22.902491,120.2728448,20.003
28,11:39:27,22.902468,120.272885,20.212
28,11:39:30,22.9024321,120.2729226,20.063
28,11:39:33,22.9023945,120.2729702,19.898
28,11:39:36,22.9023837,120.2730174,20.04
28,11:39:39,22.9024178,120.2730693,20.027
28,11:39:42,22.9024465,120.2731172,20.047
28,11:39:45,22.9024736,120.2731651,20.119
28,11:39:48,22.9025045,120.2732166,20.159
28,11:39:51,22.9025511,120.2732283,20.102
28,11:39:54,22.9026055,120.273221,19.993
28,11:39:57,22.9026647,120.2732108,20.103
